fips,county,state,state_name,lat,lon,land_sq_mi,population,septic_dominant_class,septic_dominant_share_pct,septic_very_limited_pct
06037,Los Angeles County,CA,California,34.1964,-118.2619,4060.29,9757179,,,
17031,Cook County,IL,Illinois,41.8943,-87.6455,944.93,5182617,Very limited,65.4,65.4
48201,Harris County,TX,Texas,29.8573,-95.393,1707.103,5009302,Very limited,87.2,87.2
04013,Maricopa County,AZ,Arizona,33.3452,-112.4989,9202.021,4673096,,,
06073,San Diego County,CA,California,33.0236,-116.7761,4210.884,3298799,,,
06059,Orange County,CA,California,33.6757,-117.7772,793.249,3170435,,,
12086,Miami-Dade County,FL,Florida,25.616,-80.5037,1899.988,2838461,,,
48113,Dallas County,TX,Texas,32.767,-96.7784,873.188,2656028,Very limited,90.1,90.1
36047,Kings County,NY,New York,40.635,-73.9506,69.377,2617631,Very limited,74.4,74.4
06065,Riverside County,CA,California,33.7298,-116.0022,7209.021,2529933,,,
32003,Clark County,NV,Nevada,36.2141,-115.0144,7891.661,2398871,,,
53033,King County,WA,Washington,47.4906,-121.834,2115.75,2340211,,,
36081,Queens County,NY,New York,40.6547,-73.8412,108.724,2316841,Very limited,75.4,75.4
48439,Tarrant County,TX,Texas,32.7721,-97.2912,865.4,2230708,Very limited,75.8,75.8
06071,San Bernardino County,CA,California,34.8567,-116.1816,20068.42,2214281,,,
48029,Bexar County,TX,Texas,29.4487,-98.5201,1240.419,2127737,Very limited,93,93
12011,Broward County,FL,Florida,26.1935,-80.4767,1202.982,2037472,,,
06085,Santa Clara County,CA,California,37.2216,-121.6895,1291.084,1926325,,,
26163,Wayne County,MI,Michigan,42.2847,-83.262,611.843,1771063,Very limited,69.5,69.5
25017,Middlesex County,MA,Massachusetts,42.4817,-71.3949,817.905,1668956,Very limited,76,76
36061,New York County,NY,New York,40.7766,-73.9702,22.658,1660664,Very limited,59.6,59.6
06001,Alameda County,CA,California,37.6471,-121.9125,737.459,1649060,,,
06067,Sacramento County,CA,California,38.4501,-121.3443,965.38,1611231,Very limited,84.3,84.3
12099,Palm Beach County,FL,Florida,26.6491,-80.4484,1964.32,1582055,,,
12057,Hillsborough County,FL,Florida,27.8932,-82.38,1022.539,1581426,Very limited,89.3,89.3
42101,Philadelphia County,PA,Pennsylvania,40.0094,-75.1333,134.325,1573916,Not rated,61.1,13.1
36103,Suffolk County,NY,New York,40.9436,-72.6922,910.94,1535909,Very limited,64.1,64.1
12095,Orange County,FL,Florida,28.5144,-81.3233,903.053,1533646,Very limited,82.2,82.2
36059,Nassau County,NY,New York,40.7296,-73.5894,284.544,1392438,Not rated,53.9,43
36005,Bronx County,NY,New York,40.8487,-73.8529,42.201,1384724,Very limited,64,64
48453,Travis County,TX,Texas,30.2395,-97.6913,994.329,1363767,Very limited,91.4,91.4
39049,Franklin County,OH,Ohio,39.9699,-83.0091,532.417,1356303,Very limited,83.2,83.2
26125,Oakland County,MI,Michigan,42.6605,-83.3842,867.426,1296888,Very limited,73.5,73.5
27053,Hennepin County,MN,Minnesota,45.0061,-93.4752,554.02,1273334,Very limited,65.3,65.3
48085,Collin County,TX,Texas,33.1945,-96.5794,841.513,1254658,Very limited,93.9,93.9
39035,Cuyahoga County,OH,Ohio,41.555,-81.605,457.232,1240594,Very limited,62.5,62.5
37183,Wake County,NC,North Carolina,35.7898,-78.6506,834.778,1232444,Very limited,50.5,50.5
42003,Allegheny County,PA,Pennsylvania,40.4698,-79.9805,729.952,1231814,Very limited,76.9,76.9
49035,Salt Lake County,UT,Utah,40.6679,-111.9242,752.852,1216274,,,
37119,Mecklenburg County,NC,North Carolina,35.2469,-80.8338,523.602,1206285,Very limited,43.7,43.7
06013,Contra Costa County,CA,California,37.9195,-121.9515,716.901,1172607,Very limited,84.4,84.4
51059,Fairfax County,VA,Virginia,38.8295,-77.2733,391.021,1160925,Very limited,66.7,66.7
13121,Fulton County,GA,Georgia,33.79,-84.4682,526.859,1090354,Somewhat limited,35.8,29.4
24031,Montgomery County,MD,Maryland,39.1374,-77.2031,493.142,1082273,Very limited,81.7,81.7
04019,Pima County,AZ,Arizona,32.128,-111.7837,9188.692,1080149,,,
12031,Duval County,FL,Florida,30.3352,-81.6481,762.687,1055159,Very limited,79.7,79.7
48121,Denton County,TX,Texas,33.2051,-97.1211,878.762,1045120,Very limited,82.6,82.6
06019,Fresno County,CA,California,36.761,-119.655,5958.582,1024125,,,
36119,Westchester County,NY,New York,41.1527,-73.7458,430.817,1006447,Very limited,58.7,58.7
13135,Gwinnett County,GA,Georgia,33.9588,-84.0257,431.135,1003869,Somewhat limited,53.4,44.6
15003,Honolulu County,HI,Hawaii,21.4614,-158.202,600.791,998747,,,
29189,St. Louis County,MO,Missouri,38.6404,-90.4455,508.525,992929,Very limited,56.9,56.9
09110,Capitol Planning Region,CT,Connecticut,41.817,-72.5759,1027.354,991508,,,
18097,Marion County,IN,Indiana,39.783,-86.1358,395.996,981628,Very limited,62.9,62.9
34003,Bergen County,NJ,New Jersey,40.9597,-74.0747,232.797,978641,Very limited,63.3,63.3
24033,Prince George's County,MD,Maryland,38.8293,-76.8482,482.601,966629,Very limited,75.1,75.1
12103,Pinellas County,FL,Florida,27.9053,-82.7981,273.793,965870,Not rated,58.5,41.5
48157,Fort Bend County,TX,Texas,29.5266,-95.771,862.089,958434,Very limited,94.4,94.4
36029,Erie County,NY,New York,42.7528,-78.7782,1042.763,950602,Very limited,89.2,89.2
53053,Pierce County,WA,Washington,47.0514,-122.1532,1668.025,941170,,,
17043,DuPage County,IL,Illinois,41.8521,-88.086,327.892,937142,Very limited,97.2,97.2
55079,Milwaukee County,WI,Wisconsin,42.9126,-87.8623,241.457,924740,Very limited,61.4,61.4
06029,Kern County,CA,California,35.3466,-118.7295,8134.673,922529,,,
48215,Hidalgo County,TX,Texas,26.3964,-98.181,1571.217,914820,Somewhat limited,62.4,31
47157,Shelby County,TN,Tennessee,35.1846,-89.8946,752.775,910530,Very limited,77.8,77.8
34023,Middlesex County,NJ,New Jersey,40.4396,-74.4074,309.313,890119,Very limited,81.8,81.8
26099,Macomb County,MI,Michigan,42.6716,-82.9115,479.355,886175,Very limited,93.9,93.9
34013,Essex County,NJ,New Jersey,40.7874,-74.2463,126.082,881527,Very limited,82.9,82.9
25027,Worcester County,MA,Massachusetts,42.3117,-71.9403,1510.67,881248,,,
42091,Montgomery County,PA,Pennsylvania,40.21,-75.3702,482.937,879190,Very limited,70.8,70.8
48141,El Paso County,TX,Texas,31.7665,-106.2415,1013.525,875784,,,
53061,Snohomish County,WA,Washington,48.0549,-121.765,2086.518,864113,,,
12071,Lee County,FL,Florida,26.5633,-81.9842,781.182,860959,Very limited,55.5,55.5
12105,Polk County,FL,Florida,27.9549,-81.6943,1798.466,852878,Very limited,85.9,85.9
24005,Baltimore County,MD,Maryland,39.4432,-76.6166,598.359,852425,Very limited,64.9,64.9
39061,Hamilton County,OH,Ohio,39.1969,-84.5442,405.454,837359,Not rated,47.7,41.6
06111,Ventura County,CA,California,34.3587,-119.1331,1840.78,835427,,,
06075,San Francisco County,CA,California,37.7272,-123.0322,46.685,827526,,,
25009,Essex County,MA,Massachusetts,42.6427,-70.8649,492.514,823938,,,
40109,Oklahoma County,OK,Oklahoma,35.5546,-97.4094,708.9,816490,Very limited,76.8,76.8
06077,San Joaquin County,CA,California,37.935,-121.2722,1392.301,816108,Very limited,88.5,88.5
41051,Multnomah County,OR,Oregon,45.5477,-122.4174,431.012,795897,Very limited,74,74
21111,Jefferson County,KY,Kentucky,38.1895,-85.6576,380.84,793881,Not rated,49.5,44
25025,Suffolk County,MA,Massachusetts,42.3386,-71.0183,58.257,793144,,,
13067,Cobb County,GA,Georgia,33.9399,-84.5741,339.701,787538,Somewhat limited,61.4,32.3
13089,DeKalb County,GA,Georgia,33.7707,-84.2263,267.665,770307,Somewhat limited,38.5,34.3
08041,El Paso County,CO,Colorado,38.8311,-104.5277,2126.424,752772,,,
36055,Monroe County,NY,New York,43.2503,-77.7005,656.967,752202,Very limited,79.4,79.4
48339,Montgomery County,TX,Texas,30.2988,-95.5029,1042.178,749613,Very limited,91.4,91.4
49049,Utah County,UT,Utah,40.1204,-111.6686,2004.46,747234,,,
06081,San Mateo County,CA,California,37.4147,-122.3715,448.603,742893,,,
25021,Norfolk County,MA,Massachusetts,42.1717,-71.1811,396.103,740754,,,
34017,Hudson County,NJ,New Jersey,40.7314,-74.0786,46.193,736185,Very limited,65.9,65.9
47037,Davidson County,TN,Tennessee,36.1691,-86.7848,503.521,729505,Very limited,70.7,70.7
08031,Denver County,CO,Colorado,39.7619,-104.8811,153.074,729019,Not rated,59.3,34.1
48491,Williamson County,TX,Texas,30.6491,-97.6051,1115.869,727480,Very limited,95.7,95.7
29095,Jackson County,MO,Missouri,39.0054,-94.3432,604.52,727362,Very limited,76.3,76.3
17097,Lake County,IL,Illinois,42.186,-87.8059,443.68,718604,Very limited,92.6,92.6
17197,Will County,IL,Illinois,41.4485,-87.9785,835.908,708583,Very limited,96.6,96.6
11001,District of Columbia,DC,District of Columbia,38.9042,-77.0165,61.127,702250,Not rated,58.7,40
40143,Tulsa County,OK,Oklahoma,36.1203,-95.9418,570.242,693514,Very limited,83.7,83.7
44007,Providence County,RI,Rhode Island,41.8698,-71.5786,409.484,675912,,,
26081,Kent County,MI,Michigan,43.0325,-85.5474,849.545,673002,Very limited,89.4,89.4
35001,Bernalillo County,NM,New Mexico,35.0536,-106.6691,1161.245,671747,,,
08005,Arapahoe County,CO,Colorado,39.6446,-104.3317,797.887,666918,Very limited,58.5,58.5
34029,Ocean County,NJ,New Jersey,39.8657,-74.2589,628.291,666434,Very limited,79.2,79.2
01073,Jefferson County,AL,Alabama,33.5534,-86.8965,1111.567,664744,Very limited,50.6,50.6
12101,Pasco County,FL,Florida,28.3047,-82.5024,746.608,659114,Very limited,90.4,90.4
12009,Brevard County,FL,Florida,28.2983,-80.7003,1014.973,658447,Very limited,74.2,74.2
42017,Bucks County,PA,Pennsylvania,40.3369,-75.1071,604.436,650131,Very limited,75.3,75.3
34025,Monmouth County,NJ,New Jersey,40.287,-74.1524,468.204,647520,Very limited,87.4,87.4
09190,Western Connecticut Planning Region,CT,Connecticut,41.2791,-73.4466,532.148,637013,,,
20091,Johnson County,KS,Kansas,38.8839,-94.8223,473.629,632276,Very limited,93.4,93.4
41067,Washington County,OR,Oregon,45.5535,-123.0976,724.272,611272,Very limited,96.7,96.7
12127,Volusia County,FL,Florida,29.0578,-81.1618,1101.222,602772,Very limited,81.6,81.6
24003,Anne Arundel County,MD,Maryland,38.9916,-76.5609,414.808,602350,Very limited,83.8,83.8
31055,Douglas County,NE,Nebraska,41.2971,-96.1541,326.54,601158,Very limited,50.3,50.3
34039,Union County,NJ,New Jersey,40.6599,-74.3087,102.767,594160,Very limited,59.3,59.3
25005,Bristol County,MA,Massachusetts,41.7486,-71.0889,553.118,588593,,,
55025,Dane County,WI,Wisconsin,43.0675,-89.4179,1196.496,588347,Very limited,88.2,88.2
10003,New Castle County,DE,Delaware,39.5759,-75.6441,426.338,588093,Very limited,63.7,63.7
42045,Delaware County,PA,Pennsylvania,39.9167,-75.3988,183.808,584882,Very limited,71.8,71.8
08059,Jefferson County,CO,Colorado,39.5795,-105.2455,764.424,578533,,,
09170,South Central Connecticut Planning Region,CT,Connecticut,41.2902,-72.837,367.252,576718,,,
45045,Greenville County,SC,South Carolina,34.8926,-82.3721,785.944,570745,Very limited,50.2,50.2
24510,Baltimore city,MD,Maryland,39.3,-76.6105,80.946,568271,Not limited,40.5,39.7
42071,Lancaster County,PA,Pennsylvania,40.042,-76.2502,943.924,563293,Very limited,51.1,51.1
42029,Chester County,PA,Pennsylvania,39.974,-75.7498,750.553,560745,Very limited,75.7,75.7
37081,Guilford County,NC,North Carolina,36.0791,-79.7887,645.993,558816,Very limited,62.5,62.5
06099,Stanislaus County,CA,California,37.5623,-121.0028,1496.15,556972,,,
53063,Spokane County,WA,Washington,47.6204,-117.4034,1764.224,555947,Very limited,89.8,89.8
08001,Adams County,CO,Colorado,39.8743,-104.3319,1166.8,542973,Somewhat limited,47.8,41.8
25023,Plymouth County,MA,Massachusetts,41.9872,-70.7419,658.521,542090,Very limited,84,84
27123,Ramsey County,MN,Minnesota,45.0152,-93.1,152.259,542015,Not rated,51.6,42.8
39153,Summit County,OH,Ohio,41.1218,-81.5349,412.686,538370,Very limited,86.2,86.2
